iter	Passed	Remaining
1232	2016	1254
1233	2019	1253
1234	2023	1253
1235	2026	1252
1236	2030	1252
1237	2032	1250
1238	2034	1249
1239	2036	1248
1240	2038	1246
1241	2040	1245
1242	2042	1243
1243	2046	1243
1244	2052	1244
1245	2054	1242
1246	2057	1242
1247	2059	1240
1248	2061	1239
1249	2062	1237
1250	2064	1236
1251	2066	1234
1252	2068	1233
1253	2069	1231
1254	2071	1229
1255	2073	1228
1256	2074	1226
1257	2076	1224
1258	2077	1222
1259	2079	1221
1260	2080	1219
1261	2082	1217
1262	2083	1216
1263	2084	1213
1264	2086	1212
1265	2087	1210
1266	2089	1208
1267	2091	1207
1268	2094	1206
1269	2096	1205
1270	2098	1203
1271	2100	1202
1272	2101	1200
1273	2103	1198
1274	2105	1196
1275	2106	1195
1276	2108	1193
1277	2109	1192
1278	2111	1190
1279	2113	1188
1280	2116	1187
1281	2117	1186
1282	2119	1184
1283	2120	1182
1284	2122	1180
1285	2124	1179
1286	2125	1177
1287	2127	1176
1288	2128	1174
1289	2130	1172
1290	2131	1170
1291	2133	1168
1292	2133	1166
1293	2135	1165
1294	2137	1163
1295	2138	1161
1296	2140	1160
1297	2141	1158
1298	2143	1156
1299	2145	1155
1300	2146	1153
1301	2148	1151
1302	2149	1149
1303	2151	1148
1304	2152	1146
1305	2153	1144
1306	2155	1142
1307	2156	1141
1308	2158	1139
1309	2160	1137
1310	2161	1136
1311	2163	1134
1312	2164	1132
1313	2166	1130
1314	2167	1129
1315	2169	1127
1316	2169	1125
1317	2171	1123
1318	2172	1121
1319	2173	1119
1320	2175	1118
1321	2176	1116
1322	2178	1114
1323	2179	1112
1324	2181	1111
1325	2182	1109
1326	2184	1107
1327	2185	1106
1328	2187	1104
1329	2188	1102
1330	2190	1100
1331	2191	1099
1332	2193	1097
1333	2194	1095
1334	2196	1093
1335	2197	1092
1336	2199	1090
1337	2201	1089
1338	2202	1087
1339	2203	1085
1340	2205	1083
1341	2206	1081
1342	2208	1080
1343	2209	1078
1344	2211	1076
1345	2212	1075
1346	2214	1073
1347	2215	1071
1348	2217	1069
1349	2218	1068
1350	2220	1066
1351	2221	1064
1352	2223	1063
1353	2224	1061
1354	2226	1059
1355	2228	1058
1356	2229	1056
1357	2230	1054
1358	2231	1052
1359	2233	1050
1360	2234	1049
1361	2236	1047
